,Bal,Brick,Dist,Floor,Kitsp,Livesp,Metrdist,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,lat,lon
442,1.0,0.0,0.08096062347215749,5.0,NA,53.0,15,0.0,5,14100000.0,3.0,1,78.5,1,55.761426,37.539221
443,1.0,0.0,0.032906348764335555,12.0,8.5,32.0,11.0,0.0,12.0,14100000.0,2.0,1.0,54.0,1.0,55.775834,37.644171
444,1.0,0.0,0.05817247020713812,4.0,6.0,32.0,5.0,0.0,9.0,14200000.0,2.0,1.0,45.0,1.0,55.726092,37.568614
445,0.0,0.0,0.057247645934129836,2.0,5.0,32.0,NA,0.0,10,14200000.0,1.0,0,41.0,NA,55.774958,37.672971
446,0.0,1.0,0.047897636204727936,1.0,NA,37.6,4,0.0,8,14200000.0,3.0,1,55.0,1,55.724636,37.581748
447,0.0,0.0,0.05265429464915752,2.0,9.0,31.0,7,0.0,12,14250000.0,2.0,NA,51.0,1,55.766552,37.568749
448,0.0,0.0,0.04875036386530652,2.0,NA,42.5,2,0.0,5,11000000.0,3.0,1,60.0,1,55.73256,37.663737
449,1.0,1.0,0.05498776908549774,14.0,9.5,29.0,6,0.0,14,18590000.0,2.0,NA,51.5,1,55.766754,37.566395
450,1.0,0.0,0.03159150241758314,7.0,38.7,55.9,9.0,0.0,11.0,110000000.0,4.0,1.0,144.7,1.0,55.722142,37.618569
451,1.0,1.0,0.0331777141014886,2.0,5.1,32.2,8,1.0,11,14256211.0,2.0,NA,48.2,1,55.730857,37.643866
452,1.0,0.0,0.0303699354131635,4.0,7.0,44.0,5,0.0,16,14278000.0,3.0,NA,65.0,1,55.774305,37.642132
453,1.0,0.0,0.03338357807365907,3.0,9.0,32.0,10.0,0.0,16.0,14300000.0,2.0,1.0,54.0,1.0,55.776451,37.644252
454,1.0,1.0,0.07192130533437016,19.0,NA,28.4,15,0.0,21,14300000.0,2.0,1,63.7,0,55.737709,37.689932
455,0.0,1.0,0.03274789832951083,3.0,NA,NA,5,1.0,7,14321608.0,1.0,NA,45.8,1,55.731075,37.64348
456,0.0,1.0,0.03274789832951083,6.0,NA,NA,5,1.0,6,14342786.0,1.0,NA,37.7,1,55.731075,37.64348
457,1.0,1.0,0.0331777141014886,2.0,NA,19.5,8,1.0,10,14387994.0,1.0,NA,38.0,1,55.730857,37.643866
458,1.0,1.0,0.05340401426859148,4.0,10.0,30.0,6,0.0,14,14400000.0,2.0,NA,50.0,1,55.766111,37.567869
459,0.0,1.0,0.06015756225945693,1.0,NA,48.0,5,0.0,6,14450000.0,4.0,NA,64.0,1,55.724778,37.567069
460,0.0,1.0,0.06015756225945693,1.0,NA,48.0,5,0.0,6,14450000.0,3.0,NA,64.0,1,55.724778,37.567069
461,1.0,1.0,0.039424011071931275,3.0,6.0,37.0,8,0.0,6,14450000.0,2.0,NA,48.9,1,55.770714,37.584245
462,1.0,0.0,0.03460261160663967,5.0,9.3,35.5,8.0,0.0,16.0,14490000.0,2.0,1.0,57.3,1.0,55.776006,37.646274
463,1.0,1.0,0.04992296822104913,4.0,6.0,31.0,7.0,0.0,5.0,14490000.0,2.0,1.0,41.0,1.0,55.783559,37.659829
464,1.0,1.0,0.05420112815246598,5.0,9.0,30.0,6.0,0.0,14.0,14499000.0,2.0,0.0,53.0,1.0,55.766116,37.567051
465,1.0,0.0,0.08127132256829483,3.0,9.0,50.0,20,0.0,5,14500000.0,3.0,NA,80.0,1,55.760393,37.538817
466,1.0,1.0,0.07192130533437016,5.0,7.0,32.0,15.0,0.0,21.0,14500000.0,2.0,0.0,53.0,1.0,55.737709,37.689932
467,1.0,1.0,0.041103372720499576,2.0,7.2,32.2,5.0,0.0,10.0,14500000.0,2.0,1.0,50.5,1.0,55.764749,37.58022
468,1.0,1.0,0.031433144449765776,4.0,11.0,28.0,2.0,0.0,5.0,14500000.0,1.0,1.0,66.0,1.0,55.78118,37.63509
469,0.0,0.0,0.049549691421842255,10.0,NA,59.0,4,0.0,12,14500000.0,3.0,NA,59.0,1,55.778441,37.662749
470,1.0,1.0,0.06670960140789528,3.0,6.0,26.0,10,0.0,8,14500000.0,2.0,NA,43.0,1,55.729863,37.557511
471,0.0,1.0,0.05390088085551385,2.0,9.1,34.6,5.0,0.0,10.0,14500000.0,2.0,0.0,55.9,0.0,55.766623,37.567482
472,1.0,1.0,0.057247645934129836,8.0,NA,42.7,7,0.0,10,14518000.0,1.0,0,42.7,1,55.774958,37.672971
473,0.0,1.0,0.05804118080294476,8.0,NA,42.7,3,0.0,10,14518000.0,1.0,0,42.7,1,55.774634,37.673951
